,home,away,score,season,home_stadium,away_stadium,home_coordinates,away_coordinates,distance
0,Arsenal,Aston Villa,0–1,1992-93,Emirates Stadium,Villa Park,"51.55504035, -0.1083996708672374","52.5091264, -1.8850354312212985",100.45013362369123
1,Arsenal,Blackburn Rovers,0–1,1992-93,Emirates Stadium,Ewood Park,"51.55504035, -0.1083996708672374","53.728608949999995, -2.4892582964443477",180.57765799946446
2,Arsenal,Chelsea,2–1,1992-93,Emirates Stadium,Stamford Bridge,"51.55504035, -0.1083996708672374","51.481686499999995, -0.19103517666346065",6.198360443570153
3,Arsenal,Coventry City,3–0,1992-93,Emirates Stadium,Coventry Building Society Arena,"51.55504035, -0.1083996708672374","52.44816495, -1.4971183945757918",85.5819757211837
4,Arsenal,Crystal Palace,3–0,1992-93,Emirates Stadium,Selhurst Park,"51.55504035, -0.1083996708672374","51.39824295, -0.085255058181276",10.885690865162406
5,Arsenal,Everton,2–0,1992-93,Emirates Stadium,Goodison Park,"51.55504035, -0.1083996708672374","53.4387191, -2.9664539939087415",177.48527511167492
6,Arsenal,Ipswich Town,0–0,1992-93,Emirates Stadium,Portman Road,"51.55504035, -0.1083996708672374","52.0572985, 1.145841",63.993645444083825
7,Arsenal,Leeds United,0–0,1992-93,Emirates Stadium,Elland Road,"51.55504035, -0.1083996708672374","53.764161, -1.5832414",164.84908065713122
8,Arsenal,Liverpool,0–1,1992-93,Emirates Stadium,Anfield,"51.55504035, -0.1083996708672374","53.4308358, -2.9609095414165294",176.93396001775898
9,Arsenal,Manchester City,1–0,1992-93,Emirates Stadium,City of Manchester Stadium,"51.55504035, -0.1083996708672374","53.48309105, -2.2002520023433307",159.8517463773558
10,Arsenal,Manchester United,0–1,1992-93,Emirates Stadium,Old Trafford,"51.55504035, -0.1083996708672374","53.46310955, -2.2913864850545362",160.88072413971335
11,Arsenal,Middlesbrough,1–1,1992-93,Emirates Stadium,Riverside Stadium,"51.55504035, -0.1083996708672374","54.57831335, -1.2169383040174622",214.09270489596466
12,Arsenal,Norwich City,2–4,1992-93,Emirates Stadium,Carrow Road,"51.55504035, -0.1083996708672374","52.6219835, 1.3101317640023948",95.34672960922497
13,Arsenal,Nottingham Forest,1–1,1992-93,Emirates Stadium,City Ground,"51.55504035, -0.1083996708672374","52.93993865, -1.1328954461216225",105.1595601988099
14,Arsenal,Oldham Athletic,2–0,1992-93,Emirates Stadium,Boundary Park,"51.55504035, -0.1083996708672374","53.555117800000005, -2.128417592493478",162.38281496269192
15,Arsenal,Queens Park Rangers,0–0,1992-93,Emirates Stadium,Loftus Road,"51.55504035, -0.1083996708672374","51.5420327, 0.0769485",8.039417223269899
16,Arsenal,Sheffield United,1–1,1992-93,Emirates Stadium,Bramall Lane,"51.55504035, -0.1083996708672374","53.3703478, -1.4697008060650654",138.05115248905796
17,Arsenal,Sheffield Wednesday,2–1,1992-93,Emirates Stadium,Hillsborough,"51.55504035, -0.1083996708672374","53.41137895, -1.500631103337827",141.16305326507015
18,Arsenal,Southampton,4–3,1992-93,Emirates Stadium,St Mary's Stadium,"51.55504035, -0.1083996708672374","50.90582665, -1.390881661218431",71.50008498688054
19,Arsenal,Tottenham Hotspur,1–3,1992-93,Emirates Stadium,Tottenham Hotspur Stadium,"51.55504035, -0.1083996708672374","51.604157, -0.0662604100000004",3.850268692416027
20,Arsenal,Wimbledon,0–1,1992-93,Emirates Stadium,Selhurst Park,"51.55504035, -0.1083996708672374","51.39824295, -0.085255058181276",10.885690865162406
21,Aston Villa,Arsenal,1–0,1992-93,Villa Park,Emirates Stadium,"52.5091264, -1.8850354312212985","51.55504035, -0.1083996708672374",100.45013362369123
22,Aston Villa,Blackburn Rovers,0–0,1992-93,Villa Park,Ewood Park,"52.5091264, -1.8850354312212985","53.728608949999995, -2.4892582964443477",87.9949044045809
23,Aston Villa,Chelsea,1–3,1992-93,Villa Park,Stamford Bridge,"52.5091264, -1.8850354312212985","51.481686499999995, -0.19103517666346065",101.35076227198434
24,Aston Villa,Coventry City,0–0,1992-93,Villa Park,Coventry Building Society Arena,"52.5091264, -1.8850354312212985","52.44816495, -1.4971183945757918",16.910765630556863
25,Aston Villa,Crystal Palace,3–0,1992-93,Villa Park,Selhurst Park,"52.5091264, -1.8850354312212985","51.39824295, -0.085255058181276",108.66745620357412
26,Aston Villa,Everton,2–1,1992-93,Villa Park,Goodison Park,"52.5091264, -1.8850354312212985","53.4387191, -2.9664539939087415",78.54579020949772
27,Aston Villa,Ipswich Town,2–0,1992-93,Villa Park,Portman Road,"52.5091264, -1.8850354312212985","52.0572985, 1.145841",132.2546610474341
28,Aston Villa,Leeds United,1–1,1992-93,Villa Park,Elland Road,"52.5091264, -1.8850354312212985","53.764161, -1.5832414",87.69024634432103
29,Aston Villa,Liverpool,4–2,1992-93,Villa Park,Anfield,"52.5091264, -1.8850354312212985","53.4308358, -2.9609095414165294",77.9691240039508
30,Aston Villa,Manchester City,3–1,1992-93,Villa Park,City of Manchester Stadium,"52.5091264, -1.8850354312212985","53.48309105, -2.2002520023433307",68.6214665274914
31,Aston Villa,Manchester United,1–0,1992-93,Villa Park,Old Trafford,"52.5091264, -1.8850354312212985","53.46310955, -2.2913864850545362",68.1121370516169
32,Aston Villa,Middlesbrough,5–1,1992-93,Villa Park,Riverside Stadium,"52.5091264, -1.8850354312212985","54.57831335, -1.2169383040174622",145.71786411235846
33,Aston Villa,Norwich City,2–3,1992-93,Villa Park,Carrow Road,"52.5091264, -1.8850354312212985","52.6219835, 1.3101317640023948",134.84217597260078
34,Aston Villa,Nottingham Forest,2–1,1992-93,Villa Park,City Ground,"52.5091264, -1.8850354312212985","52.93993865, -1.1328954461216225",43.41011531396345
35,Aston Villa,Oldham Athletic,0–1,1992-93,Villa Park,Boundary Park,"52.5091264, -1.8850354312212985","53.555117800000005, -2.128417592493478",73.038743522585
36,Aston Villa,Queens Park Rangers,2–0,1992-93,Villa Park,Loftus Road,"52.5091264, -1.8850354312212985","51.5420327, 0.0769485",107.10509112905511
37,Aston Villa,Sheffield United,3–1,1992-93,Villa Park,Bramall Lane,"52.5091264, -1.8850354312212985","53.3703478, -1.4697008060650654",62.02870517670841
38,Aston Villa,Sheffield Wednesday,2–0,1992-93,Villa Park,Hillsborough,"52.5091264, -1.8850354312212985","53.41137895, -1.500631103337827",64.42176269100105
39,Aston Villa,Southampton,1–1,1992-93,Villa Park,St Mary's Stadium,"52.5091264, -1.8850354312212985","50.90582665, -1.390881661218431",112.85697585520244
40,Aston Villa,Tottenham Hotspur,0–0,1992-93,Villa Park,Tottenham Hotspur Stadium,"52.5091264, -1.8850354312212985","51.604157, -0.0662604100000004",99.61289281044768
41,Aston Villa,Wimbledon,1–0,1992-93,Villa Park,Selhurst Park,"52.5091264, -1.8850354312212985","51.39824295, -0.085255058181276",108.66745620357412
42,Blackburn Rovers,Arsenal,1–0,1992-93,Ewood Park,Emirates Stadium,"53.728608949999995, -2.4892582964443477","51.55504035, -0.1083996708672374",180.57765799946446
43,Blackburn Rovers,Aston Villa,3–0,1992-93,Ewood Park,Villa Park,"53.728608949999995, -2.4892582964443477","52.5091264, -1.8850354312212985",87.9949044045809
44,Blackburn Rovers,Chelsea,2–0,1992-93,Ewood Park,Stamford Bridge,"53.728608949999995, -2.4892582964443477","51.481686499999995, -0.19103517666346065",183.0028672662288
